movie,studio,foreign_gross,year,id_x,release_date_x,production_budget,domestic_gross,worldwide_gross,Unnamed: 0,genre_ids,id_y,original_language,popularity,release_date_y,title,vote_average,vote_count,parsed_genres
The Kids Are All Right,Focus,13900000.0,2010,87,2010-07-09,4000000,20811365,36275469,211,"[35, 18]",39781,en,8.426,2010-07-09,The Kids Are All Right,6.6,854,"[35, 18]"
You Will Meet a Tall Dark Stranger,SPC,31000000.0,2010,27,2010-09-22,15000000,3247816,34247816,369,"[35, 18, 10749]",38031,en,6.209,2010-05-23,You Will Meet a Tall Dark Stranger,5.8,431,"[35, 18, 10749]"
Leap Year,Uni.,6700000.0,2010,40,2010-01-08,19000000,25918920,32618920,85,"[10749, 35]",25195,en,11.821,2010-01-08,Leap Year,6.7,990,"[10749, 35]"
You Again,BV,6300000.0,2010,78,2010-09-24,20000000,25702053,32838945,124,"[35, 10749]",38303,en,10.208,2010-09-24,You Again,6.2,734,"[35, 10749]"
The Losers,WB,5800000.0,2010,44,2010-04-23,25000000,23591432,29863840,126,"[28, 12, 80, 9648, 53]",34813,en,10.202,2010-04-23,The Losers,6.2,844,"[28, 12, 80, 9648, 53]"
Ramona and Beezus,Fox,1100000.0,2010,60,2010-07-23,15000000,26167002,27469621,283,"[35, 10751]",38843,en,7.442,2010-07-23,Ramona and Beezus,6.3,460,"[35, 10751]"
Let Me In,Over.,12000000.0,2010,38,2010-10-01,20000000,12134935,28270399,146,"[18, 27, 9648]",41402,en,9.716000000000001,2010-10-01,Let Me In,6.7,1061,"[18, 27, 9648]"
Let Me In,Over.,12000000.0,2010,38,2010-10-01,20000000,12134935,28270399,19574,[18],430926,en,0.675,2016-06-20,Let Me In,7.0,2,[18]
Mao's Last Dancer,Gold.,17500000.0,2010,31,2010-08-20,18000000,4806750,25941437,673,"[18, 10749]",33870,en,2.681,2010-08-20,Mao's Last Dancer,7.0,45,"[18, 10749]"
Just Wright,FoxS,29900.0,2010,85,2010-05-14,12000000,21540363,21867665,312,"[35, 18, 10749]",38093,en,7.047000000000001,2010-05-14,Just Wright,6.2,211,"[35, 18, 10749]"
Our Family Wedding,FoxS,1200000.0,2010,95,2010-03-12,14000000,20255281,21410546,446,[35],34563,en,5.025,2010-03-12,Our Family Wedding,5.5,57,[35]
My Soul to Take,Uni.,6200000.0,2010,68,2010-10-08,25000000,14744435,16727470,143,"[18, 27, 9648, 53]",43931,en,9.808,2010-10-08,My Soul to Take,5.4,247,"[18, 27, 9648, 53]"
Country Strong,SGem,310000.0,2010,71,2010-12-22,15000000,20218921,20601987,277,"[18, 10749, 10402]",45272,en,7.567,2010-12-22,Country Strong,6.3,126,"[18, 10749, 10402]"
Another Year,SPC,16500000.0,2010,8,2010-12-29,8000000,3205706,20005613,161,"[35, 18]",44009,en,9.394,2010-12-29,Another Year,7.0,150,"[35, 18]"
Buried,LGF,18100000.0,2010,2,2010-09-24,1987650,1044143,21270290,102,"[18, 53, 9648]",26388,en,10.888,2010-09-24,Buried,6.6,1487,"[18, 53, 9648]"
Repo Men,Uni.,4600000.0,2010,13,2010-03-19,32000000,13942007,18195238,73,"[28, 878, 53, 80]",31867,en,12.437000000000001,2010-03-19,Repo Men,6.2,976,"[28, 878, 53, 80]"
The Nutcracker in 3D,Free,16000000.0,2010,79,2010-11-24,90000000,195459,20466016,278,"[10402, 14, 28, 10751]",49852,en,7.566,2010-11-24,The Nutcracker in 3D,5.5,97,"[10402, 14, 28, 10751]"
Sea Rex 3D: Journey to a Prehistoric World,3D,9900000.0,2010,31,2010-05-28,5000000,6096582,16515203,657,[99],78394,en,2.7460000000000004,2010-05-14,Sea Rex 3D: Journey to a Prehistoric World,7.4,12,[99]
Extraordinary Measures,CBS,3100000.0,2010,33,2010-01-22,31000000,12482741,15826984,360,[18],27569,en,6.3,2010-01-21,Extraordinary Measures,6.3,153,[18]
Somewhere,Focus,12200000.0,2010,42,2010-12-22,7000000,1785645,17023121,275,"[35, 18]",39210,en,7.596,2010-12-22,Somewhere,6.1,376,"[35, 18]"
Winter's Bone,RAtt.,7300000.0,2010,8,2010-06-11,2000000,6531503,16131551,141,[18],39013,en,9.824,2010-06-11,Winter's Bone,6.9,931,[18]
Made in Dagenham,SPC,11300000.0,2010,14,2010-11-19,8000000,1095369,15644196,293,"[35, 18, 36]",46138,en,7.275,2010-11-19,Made in Dagenham,6.6,150,"[35, 18, 36]"
Blue Valentine,Wein.,2600000.0,2010,25,2010-12-29,1000000,9737892,16566240,178,"[18, 10749]",46705,en,8.994,2010-12-29,Blue Valentine,6.9,1677,"[18, 10749]"
Blue Valentine,Wein.,2600000.0,2010,25,2010-12-29,1000000,9737892,16566240,2673,"[18, 10749]",46705,en,8.994,2010-12-29,Blue Valentine,6.9,1677,"[18, 10749]"
Chloe,SPC,8600000.0,2010,97,2010-03-26,13000000,3075255,11831131,186,"[18, 53, 9648]",28211,en,8.807,2010-03-26,Chloe,5.9,940,"[18, 53, 9648]"
The Warrior's Way,Rela.,5400000.0,2010,65,2010-12-03,42000000,5666340,8514325,222,"[12, 14, 28, 37, 53]",46528,en,8.259,2010-12-03,The Warrior's Way,6.1,203,"[12, 14, 28, 37, 53]"
Jonah Hex,WB,356000.0,2010,40,2010-06-18,47000000,10547117,11022696,53,"[28, 37, 18, 14, 53]",20533,en,13.467,2010-06-18,Jonah Hex,4.6,708,"[28, 37, 18, 14, 53]"
Harry Brown,Gold.,8500000.0,2010,81,2010-04-30,7300000,1818681,12023606,114,"[53, 80, 18, 28]",25941,en,10.555,2010-04-30,Harry Brown,6.8,505,"[53, 80, 18, 28]"
Cyrus,FoxS,2500000.0,2010,27,2010-06-18,7000000,7468936,10062896,261,"[35, 18, 10749]",39053,en,7.735,2010-06-18,Cyrus,6.0,201,"[35, 18, 10749]"
Conviction,FoxS,2900000.0,2010,28,2010-10-15,12500000,6797696,11826980,280,[18],45094,en,7.51,2010-10-15,Conviction,7.2,297,[18]
Get Low,SPC,518000.0,2010,23,2010-07-30,7000000,9176933,10828305,224,"[35, 18, 9648]",44718,en,8.215,2010-01-22,Get Low,6.7,135,"[35, 18, 9648]"
Stone,Over.,7700000.0,2010,50,2010-10-08,22000000,1810078,4065020,216,"[18, 53]",44113,en,8.401,2010-10-22,Stone,5.2,334,"[18, 53]"
Never Let Me Go,FoxS,7000000.0,2010,29,2010-09-15,15000000,2434652,11173718,134,"[18, 10749, 878]",42188,en,10.012,2010-09-15,Never Let Me Go,6.8,1294,"[18, 10749, 878]"
MacGruber,Uni.,797000.0,2010,42,2010-05-21,10000000,8525600,8629895,268,"[28, 12, 35]",37931,en,7.666,2010-05-21,MacGruber,5.3,270,"[28, 12, 35]"
Inside Job,SPC,3600000.0,2010,17,2010-10-08,2000000,4311834,7799257,152,[99],44639,en,9.514,2010-10-08,Inside Job,7.8,466,[99]
The Joneses,RAtt.,5500000.0,2010,88,2010-04-16,10000000,1475746,3541565,349,"[35, 18]",41479,en,6.4239999999999995,2010-04-16,The Joneses,6.2,312,"[35, 18]"
The Joneses,RAtt.,5500000.0,2010,88,2010-04-16,10000000,1475746,3541565,19757,[99],392180,en,0.634,2016-04-28,The Joneses,6.0,1,[99]
Centurion,Magn.,6700000.0,2010,46,2010-08-27,15000000,123570,7885048,50,"[12, 28, 18]",23759,en,13.548,2010-02-15,Centurion,6.1,673,"[12, 28, 18]"
Animal Kingdom,SPC,5700000.0,2010,71,2010-08-13,4200000,1044039,8078683,127,"[18, 53, 80, 9648]",44629,en,10.187999999999999,2010-08-13,Animal Kingdom,6.8,399,"[18, 53, 80, 9648]"
Nowhere Boy,Wein.,5100000.0,2010,6,2010-10-08,1900000,1445366,7785229,307,[18],33511,en,7.099,2010-01-27,Nowhere Boy,7.3,469,[18]
